Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Region,Audience_Type,Age_Group,Gender,Impressions,Clicks,Conversions,Spend,Revenue
MKT001,Flash Sale,Instagram,2024-09-01,2024-09-19,South,New,18-25,Male,125410,5920,1730,46932,98741
MKT002,New Year Promo,Facebook,2024-07-09,2024-07-26,South,Returning,36-50,Female,95225,14750,2282,38798,28830
MKT003,Monsoon Offers,Email,2024-06-11,2024-07-02,West,Returning,36-50,Male,64814,11345,679,36898,65044
MKT004,Festive Blast,Twitter,2024-03-02,2024-03-27,East,Returning,26-35,Male,105091,7324,1270,20881,83948
MKT005,Flash Sale,YouTube,2024-03-08,2024-03-30,North,New,36-50,Female,70719,7327,589,15785,79202
MKT006,Clearance Campaign,Instagram,2024-08-20,2024-09-02,West,Returning,36-50,Male,149887,9417,2625,11691,47045
MKT007,Diwali Offers,Instagram,2024-09-01,2024-09-23,West,New,26-35,Other,53919,1776,1282,22297,96322
MKT008,Flash Sale,Google Ads,2024-08-26,2024-09-16,East,Returning,50+,Other,93155,12029,483,11358,81051
MKT009,Monsoon Offers,Google Ads,2024-07-22,2024-08-17,East,New,50+,Female,91569,6208,262,24581,36627
MKT010,Festive Blast,Email,2024-06-11,2024-06-18,West,Returning,36-50,Female,61328,1687,2588,6462,25198
MKT011,New Year Promo,Twitter,2024-10-22,2024-11-01,North,Returning,50+,Male,44618,1529,1976,20511,79521
MKT012,Monsoon Offers,Email,2024-07-11,2024-08-09,West,Returning,50+,Male,54675,12634,1312,15570,39475
MKT013,Monsoon Offers,Facebook,2024-02-20,2024-03-03,East,Returning,36-50,Male,38919,6067,2562,49414,29403
MKT014,Diwali Offers,Facebook,2024-03-30,2024-04-24,North,New,50+,Male,24173,14223,1462,20474,13681
MKT015,Mega Discount,Email,2024-10-25,2024-11-21,East,Returning,36-50,Other,129369,9080,1730,12037,52292
MKT016,Festive Blast,Twitter,2024-08-13,2024-09-12,North,Returning,18-25,Other,46400,6518,1304,33129,15629
MKT017,Winter Deals,Email,2024-01-29,2024-02-13,South,New,26-35,Female,90305,3153,387,47267,87814
MKT018,Monsoon Offers,Twitter,2024-05-23,2024-06-14,East,Returning,26-35,Male,188636,10486,1957,18386,18417
MKT019,Mega Discount,Twitter,2024-08-18,2024-09-05,East,New,50+,Male,196886,7094,286,11221,44765
MKT020,Winter Deals,YouTube,2024-03-09,2024-04-07,West,Returning,50+,Female,108791,7974,2007,28474,84499
MKT021,Festive Blast,Twitter,2024-07-06,2024-08-03,East,Returning,50+,Male,179034,10718,1261,45537,66574
MKT022,Summer Sale,Google Ads,2024-03-03,2024-03-18,East,Returning,26-35,Male,90533,5774,229,26045,37675
MKT023,Clearance Campaign,Twitter,2024-01-26,2024-02-02,South,New,18-25,Male,123591,8692,2341,30783,82267
MKT024,Mega Discount,Twitter,2024-08-31,2024-09-17,East,Returning,18-25,Male,161650,12088,2463,45157,50563
MKT025,Weekend Bonanza,Twitter,2024-04-28,2024-05-06,South,Returning,26-35,Male,151060,4103,1987,9922,21332
MKT026,Summer Sale,Facebook,2024-01-06,2024-02-03,South,Returning,18-25,Female,169696,3440,243,27706,29177
MKT027,Clearance Campaign,Google Ads,2024-02-11,2024-03-04,South,New,26-35,Male,59194,5135,115,47771,99254
MKT028,Diwali Offers,Google Ads,2024-01-23,2024-02-19,South,New,18-25,Female,129903,12994,2570,37479,78447
MKT029,Flash Sale,Email,2024-02-09,2024-02-28,North,Returning,36-50,Male,151461,8124,344,10178,67104
MKT030,New Year Promo,YouTube,2024-06-25,2024-07-08,West,New,36-50,Other,119303,6201,1026,35022,94335
MKT031,Weekend Bonanza,Twitter,2024-06-27,2024-07-19,North,Returning,26-35,Other,133903,1844,2276,20240,90730
MKT032,Diwali Offers,Instagram,2024-09-02,2024-09-11,East,Returning,18-25,Other,87391,1446,1006,31220,14951
MKT033,Festive Blast,YouTube,2024-02-20,2024-02-27,North,Returning,50+,Other,164866,4915,986,41736,38333
MKT034,Diwali Offers,YouTube,2024-04-14,2024-04-23,North,Returning,18-25,Female,78002,4109,440,7716,31673
MKT035,Flash Sale,Google Ads,2024-01-01,2024-01-15,East,Returning,36-50,Female,55531,2234,2151,21574,50870
MKT036,Festive Blast,YouTube,2024-03-24,2024-04-03,East,Returning,36-50,Male,24986,7587,1533,22719,81101
MKT037,Weekend Bonanza,Twitter,2024-05-15,2024-06-05,East,Returning,18-25,Other,52298,14638,405,13181,32821
MKT038,Flash Sale,Twitter,2024-04-30,2024-05-25,North,New,18-25,Female,21481,1226,1007,49066,35494
MKT039,Winter Deals,Facebook,2024-06-12,2024-06-25,North,New,50+,Male,76408,5143,2754,25213,84160
MKT040,New Year Promo,Twitter,2024-10-21,2024-11-04,East,New,50+,Male,141950,8185,1471,11380,10835
MKT041,Weekend Bonanza,Twitter,2024-10-22,2024-11-02,West,New,18-25,Female,167907,12151,420,5615,28646
MKT042,Winter Deals,Google Ads,2024-07-09,2024-08-02,West,New,18-25,Other,145355,6558,658,5463,87360
MKT043,Clearance Campaign,Twitter,2024-02-14,2024-03-11,South,New,18-25,Male,47798,11022,1304,36973,47335
MKT044,Weekend Bonanza,Facebook,2024-10-10,2024-11-07,East,New,18-25,Other,111649,12971,2765,14158,79351
MKT045,Clearance Campaign,Instagram,2024-05-13,2024-05-20,South,Returning,26-35,Other,84887,1186,2858,25651,12429
MKT046,Festive Blast,Google Ads,2024-04-13,2024-05-04,West,Returning,18-25,Other,39477,12069,1509,8158,51950
MKT047,Winter Deals,Instagram,2024-06-19,2024-07-09,South,Returning,50+,Male,168338,3535,1741,25008,70654
MKT048,New Year Promo,Google Ads,2024-04-26,2024-05-17,East,Returning,36-50,Other,147815,2932,1231,9938,78143
MKT049,Flash Sale,Email,2024-02-19,2024-03-14,East,New,26-35,Male,194598,12116,2678,43185,87527
MKT050,Monsoon Offers,YouTube,2024-05-10,2024-05-27,East,New,18-25,Other,147426,10040,2557,27388,96704
MKT051,Diwali Offers,Email,2024-10-07,2024-10-20,North,Returning,36-50,Male,162961,3032,917,13881,41099
MKT052,Summer Sale,Twitter,2024-08-26,2024-09-16,South,Returning,26-35,Other,44335,2252,1294,10603,49385
MKT053,New Year Promo,Instagram,2024-07-15,2024-07-27,West,New,36-50,Female,162326,6509,2640,39980,45919
